address_1,address_1,store,dateofissue,rating,review
남구,산업로,삿뽀로울산점(주)엔타스,2021.10.09,5.0,"상견례자리에 서비스, 음식 모두 맛있고 좋았습니다.양가부모님 모두 좋아하셨고 덕분에 자리도 좋은 분위기에 마무리 된거같아요! 감사합니다"
남구,산업로,삿뽀로울산점(주)엔타스,2021.10.09,5.0,가족모임하기 정말 좋습니다
남구,산업로,삿뽀로울산점(주)엔타스,2021.10.07,5.0,너무감동하고가요 다음번에도 꼭 올거예요 생일이라고 신랑도 안차려준 생일상도 받아보네요 감동해서 눈물 날뻔햇어요 ㅠㅠ 회도 너무 싱싱하고 진짜 잘먹고가요 잘되는곳은 이유가 잇네요 ^^ 더 대박나세요 ❤️
남구,삼산로,신라스테이 울산 카페(cafe),2021.10.09,3.5,종류는 많지않으나 하나하나 맛있어요
남구,삼산로,신라스테이 울산 카페(cafe),2021.04.07,5.0,좋아요
남구,삼산로,신라스테이 울산 카페(cafe),2021.03.04,5.0,좋아요^^
남구,삼산로,신라스테이 울산 카페(cafe),2021.02.12,4.5,생맥주 안주 비싸지 않고 맛있어요
남구,삼산로,신라스테이 울산 카페(cafe),2021.02.12,4.0,좋아요
남구,삼산로,신라스테이 울산 카페(cafe),2021.02.11,3.0,음식보충해주세요
남구,삼산로,신라스테이 울산 카페(cafe),2021.02.04,5.0,좋아요
남구,삼산로,신라스테이 울산 카페(cafe),2021.01.29,4.0,오랜만에 만난 행복이들~~^^
남구,삼산로,신라스테이 울산 카페(cafe),2021.01.26,5.0,도시락 좋네요 ㅎ
남구,삼산로,신라스테이 울산 카페(cafe),2020.12.25,4.5,"깔끔한 음식, 디저트와 커피까지 즐길 수 있는 곳"
남구,돋질로239번길,썸원스키친,2021.08.27,4.5,좋아요
남구,돋질로239번길,썸원스키친,2021.06.11,5.0,두명이서 셋트 시켯는데 양많고 맛잇어용
남구,돋질로239번길,썸원스키친,2021.06.08,3.0,식전빵과 커피 or 아이스크림이 나오는 세트 메뉴는 나쁘지 않으나 단품으로는 가격이 비싼 듯 합니다.
남구,돋질로239번길,썸원스키친,2021.04.20,5.0,좋아요~!
남구,돋질로239번길,썸원스키친,2021.03.02,3.5,맛있어요~
남구,돋질로239번길,썸원스키친,2020.12.09,5.0,마시써용!
남구,돋질로239번길,썸원스키친,2020.11.24,5.0,좋아요
남구,돋질로239번길,썸원스키친,2020.08.18,5.0,크림소스가 진짜 진짜 맛있어요
남구,돋질로239번길,썸원스키친,2020.02.06,5.0,늘 맛있어요 다들 맛있다고 함
남구,달삼로23번길,어궁참가자미횟집,2021.09.01,3.5,물회 맛난데 조금만 덜 달았으면ㅎㅎ
남구,달삼로23번길,어궁참가자미횟집,2021.08.05,5.0,시원하고 맛나요 . 물회 짱
남구,달삼로23번길,어궁참가자미횟집,2021.07.29,5.0,맛있어요 깨끗하고 반찬도 맛있움 !!
남구,달삼로23번길,어궁참가자미횟집,2021.07.25,2.5,물회에 회가없어요..
남구,달삼로23번길,어궁참가자미횟집,2021.07.12,5.0,굿
남구,달삼로23번길,어궁참가자미횟집,2021.06.30,5.0,깔끔하구 맛있어요~~^^
남구,달삼로23번길,어궁참가자미횟집,2021.06.30,4.5,회덮밥. 짱이예요
남구,달삼로23번길,어궁참가자미횟집,2021.06.25,5.0,ㆍ
남구,달삼로23번길,어궁참가자미횟집,2021.06.19,5.0,맛나요~
남구,달삼로23번길,어궁참가자미횟집,2021.06.18,5.0,맛있어요
남구,삼산로355번길,이감독참치,2021.07.22,5.0,친절해요
남구,삼산로355번길,이감독참치,2021.07.22,4.5,친절해요
남구,삼산로355번길,이감독참치,2021.04.07,4.5,좋아요
남구,삼산로355번길,이감독참치,2021.01.21,4.0,조아요
남구,삼산로355번길,이감독참치,2021.01.16,5.0,맛있고 서비스좋은곳 좋아요!!!
남구,삼산로355번길,이감독참치,2020.12.30,3.0,조아요
남구,삼산로355번길,이감독참치,2020.10.06,4.5,맛있어요
남구,삼산로355번길,이감독참치,2020.09.30,5.0,굳뜨
남구,삼산로355번길,이감독참치,2020.08.27,5.0,굿
남구,삼산로355번길,이감독참치,2020.04.10,5.0,very good
남구,왕생로,진상가든,2021.09.30,3.0,잘먹었습니다
남구,왕생로,진상가든,2021.09.20,5.0,"신선한재료, 친절한 사장님. 너무 맛있어요. 소고기는여기만 갑니다. 👍"
남구,왕생로,진상가든,2021.09.09,4.0,잘먹었습니다
남구,왕생로,진상가든,2021.08.29,2.5,직원분 넘 불친절..어제는도 불친절했는데 오늘도 역시나 ...맛도 기냥저냥..!
남구,왕생로,진상가든,2021.08.29,2.5,직원인지 사장인지 일하시는 분이 말투가 영~~~~ 불친절해요
남구,왕생로,진상가든,2021.08.24,4.0,굿
남구,왕생로,진상가든,2021.07.06,5.0,여기서 회식하고 오셨네용
남구,왕생로,진상가든,2021.06.24,0.5,갈비살 100g25000원주고 3인분시켰는데 기름덩어리 너무 많아서 사장님도 보시곤 고기 바꿔주셨는데 그것또한 질겨서 반정도밖에 못먹고 나왔어요 손님이 많아서 인지 친절하지도 않구요
남구,왕생로,진상가든,2021.06.09,4.5,점심 떡갈비정식 추천
남구,왕생로,진상가든,2021.03.25,4.0,굿
남구,장생포고래로,청해고래전문점,2021.06.20,5.0,고래정식 삼만원! 일요일 점심에 방문해서 여유롭게 식사하구 왔어요! 고래고기 처음 먹어봤는데 맛있네요
남구,장생포고래로,청해고래전문점,2021.06.02,4.5,복국 맛있어요!
남구,장생포고래로,청해고래전문점,2021.05.17,5.0,좋아요!
남구,장생포고래로,청해고래전문점,2021.04.30,3.0,특이하고 단백해요
남구,장생포고래로,청해고래전문점,2021.04.14,4.0,"좋아요 ,"
남구,장생포고래로,청해고래전문점,2020.11.18,5.0,좋아요
남구,돋질로239번길,콩&콩리,2021.10.12,5.0,새롭게 알게 된 건강 맛집
남구,돋질로239번길,콩&콩리,2021.09.20,5.0,전두부너무좋아요 : ) 소고기전골 능이버섯전골 전두부보쌈 전두부피자 먹었어 요 다맛있어요 전두부피자최고!
남구,돋질로239번길,콩&콩리,2021.09.15,5.0,비지를 빼지않은 두부가 부드럽고 단백하며 고소한맛이 일미입니다 그리고 특별히 안주인께서 직접 쌀누룩을 만들어 그 누룩으로 만든 막걸리가 또한 특별합니다
남구,돋질로239번길,콩&콩리,2021.08.21,5.0,맛있어요 쵝오
남구,돋질로239번길,콩&콩리,2021.08.18,5.0,맛있어요 쵝오
남구,돋질로239번길,콩&콩리,2021.07.10,4.0,굿
남구,돋질로239번길,콩&콩리,2020.11.09,4.0,맛있어요
남구,돋질로239번길,콩&콩리,2020.11.09,4.0,좋앙
남구,돋질로239번길,콩&콩리,2020.11.09,4.0,굿
남구,돋질로239번길,콩&콩리,2020.11.09,4.5,굿~
